	T11	T4	T9
ASV_1	673	342	0
ASV_2	0	0	670
ASV_3	167	352	0
ASV_4	492	0	0
ASV_5	0	0	444
ASV_6	443	0	0
ASV_7	0	397	0
ASV_8	0	238	0
ASV_9	0	218	0
ASV_10	209	0	0
ASV_11	0	191	0
ASV_12	0	0	191
ASV_13	178	0	0
ASV_14	0	0	165
ASV_15	0	152	0
ASV_16	0	152	0
ASV_17	134	0	0
ASV_18	0	132	0
ASV_19	0	116	0
ASV_20	0	0	108
ASV_21	0	106	0
ASV_22	0	90	0
ASV_23	84	0	0
ASV_24	0	79	0
ASV_25	0	0	79
ASV_26	0	0	78
ASV_27	71	0	0
ASV_28	0	71	0
ASV_29	0	0	64
ASV_30	0	0	60
ASV_31	0	0	56
ASV_32	0	0	56
ASV_33	0	0	54
ASV_34	0	0	53
ASV_35	51	0	0
ASV_36	0	50	0
ASV_37	0	0	43
ASV_38	39	0	0
ASV_39	0	0	37
ASV_40	0	0	35
ASV_41	0	0	34
ASV_42	0	0	34
ASV_43	0	0	33
ASV_44	0	32	0
ASV_45	0	0	26
ASV_46	0	25	0
ASV_47	0	0	25
ASV_48	0	0	25
ASV_49	24	0	0
ASV_50	0	23	0
ASV_51	22	0	0
ASV_52	0	22	0
ASV_53	21	0	0
ASV_54	20	0	0
ASV_55	0	19	0
ASV_56	18	0	0
ASV_57	0	0	17
ASV_58	0	0	16
ASV_59	0	0	15
ASV_60	12	0	0
ASV_61	0	0	10
ASV_62	4	0	0
ASV_63	0	4	0
